State,Population.2014 Population,Population.2010 Population
Connecticut,3605944,3574097
Delaware,989948,897934
District of Columbia,689545,601723
Florida,21538187,18801310
Georgia,10711908,9687653
Hawaii,1455271,1360301
Alabama,5024279,4779736
Alaska,733391,710231
Arizona,7151502,6392017
Arkansas,3011524,2915918
California,39538223,37253956
Colorado,5773714,5029196
Louisiana,4657757,4533372
Maine,1362359,1328361
Montana,1084225,989415
Nebraska,1961504,1826341
Nevada,3104614,2700551
New Hampshire,1377529,1316470
Idaho,1839106,1567582
Illinois,12812508,12830632
Indiana,6785528,6483802
Iowa,3190369,3046355
Kansas,2937880,2853118
Kentucky,4505836,4339367
Oklahoma,3959353,3751351
Oregon,4237256,3831074
Maryland,6177224,5773552
Massachusetts,7029917,6547629
Michigan,10077331,9883640
Minnesota,5706494,5303925
Tennessee,6910840,6346105
Texas,29145505,25145561
Utah,3271616,2763885
Vermont,643077,625741
Virginia,8631393,8001024
Washington,7705281,6724540
Mississippi,2961279,2967297
Missouri,6154913,5988927
Pennsylvania,13002700,12702379
Rhode Island,1097379,1052567
South Carolina,5118425,4625364
South Dakota,886667,814180
New Jersey,9288994,8791894
New Mexico,2117522,2059179
New York,20201249,19378102
North Carolina,10439388,9535483
North Dakota,779094,672591
Ohio,11799448,11536504
West Virginia,1793716,1852994
Wisconsin,5893718,5686986
Wyoming,576851,563626
